step,train_loss,val_loss,lr,tokens_per_sec
13080,3.1489,,0.000066,91074
13100,3.1472,,0.000066,91057
13100,3.2041,3.2615,0.000066,
13120,3.1961,,0.000066,90531
13140,3.2113,,0.000065,89788
13160,3.1987,,0.000065,91051
13180,3.2409,,0.000065,91081
13200,3.1970,,0.000065,91056
13200,3.2306,3.2707,0.000065,
13220,3.1984,,0.000064,91600
13240,3.2323,,0.000064,90993
13260,3.1802,,0.000064,91068
13280,3.2360,,0.000064,91076
13300,3.2042,,0.000064,91055
13300,3.1950,3.2599,0.000064,
13320,3.1521,,0.000063,90462
13340,3.2326,,0.000063,90880
13360,3.2164,,0.000063,91049
13380,3.1728,,0.000063,91068
13400,3.1863,,0.000063,91065
13400,3.2107,3.2973,0.000063,
13420,3.1734,,0.000062,90650
13440,3.2166,,0.000062,90253
13460,3.1837,,0.000062,91039
13480,3.2065,,0.000062,91078
13500,3.1937,,0.000062,91060
13500,3.2117,3.2772,0.000062,
13520,3.2418,,0.000062,91585
13540,3.1800,,0.000062,91021
13560,3.2146,,0.000061,91055
13580,3.1619,,0.000061,91068
13600,3.1425,,0.000061,91061
13600,3.2162,3.2437,0.000061,
13620,3.1594,,0.000061,91818
13640,3.2462,,0.000061,90769
13660,3.2147,,0.000061,90791
13680,3.1527,,0.000061,91081
13700,3.1617,,0.000061,91059
13700,3.2216,3.3033,0.000061,
13720,3.1883,,0.000061,91947
13740,3.2040,,0.000060,90878
13760,3.1721,,0.000060,90938
13780,3.1916,,0.000060,91076
13800,3.1884,,0.000060,91066
13800,3.2278,3.2673,0.000060,
13820,3.1693,,0.000060,91817
13840,3.2091,,0.000060,91015
13860,3.1364,,0.000060,91059
13880,3.2072,,0.000060,91070
13900,3.1930,,0.000060,91061
13900,3.2165,3.2821,0.000060,
13920,3.1600,,0.000060,91680
13940,3.2154,,0.000060,91001
13960,3.1913,,0.000060,91064
13980,3.1884,,0.000060,91081
13999,3.2366,3.2611,0.000060,
