step,train_loss,val_loss,lr,tokens_per_sec
2900,3.7568,,0.000559,54349
2900,3.6929,3.7011,0.000559,
2920,3.7184,,0.000558,38636
2940,3.7231,,0.000558,54092
2960,3.7274,,0.000557,54417
2980,3.7495,,0.000556,54630
3000,3.7345,,0.000556,54492
3000,3.6823,3.6843,0.000556,
3020,3.7236,,0.000555,47124
3040,3.6816,,0.000554,54336
3060,3.7050,,0.000553,47237
3080,3.7257,,0.000553,54383
3100,3.6709,,0.000552,54322
3100,3.6632,3.6578,0.000552,
3120,3.6291,,0.000551,50761
3140,3.7279,,0.000551,54221
3160,3.6843,,0.000550,39127
3180,3.6592,,0.000549,54330
3200,3.6851,,0.000548,54509
3200,3.6683,3.6299,0.000548,
3220,3.6880,,0.000548,40935
3240,3.6901,,0.000547,40326
3260,3.6069,,0.000546,54446
3280,3.6155,,0.000545,54288
3300,3.6637,,0.000545,54435
3300,3.6519,3.6261,0.000545,
3320,3.6264,,0.000544,54456
3340,3.6459,,0.000543,54391
3360,3.6807,,0.000542,41566
3380,3.6433,,0.000542,54256
3400,3.6322,,0.000541,54534
3400,3.6264,3.6257,0.000541,
3420,3.6680,,0.000540,41420
3440,3.6224,,0.000539,38030
3460,3.6329,,0.000538,54352
3480,3.5898,,0.000538,54262
3500,3.6800,,0.000537,54415
3500,3.6429,3.6216,0.000537,
3520,3.6336,,0.000536,38452
3540,3.6083,,0.000535,37378
3560,3.6203,,0.000534,54244
3580,3.6369,,0.000534,54364
3600,3.6656,,0.000533,54424
3600,3.6119,3.6125,0.000533,
3620,3.6279,,0.000532,38208
3640,3.5965,,0.000531,54073
3660,3.5786,,0.000530,54411
3680,3.6298,,0.000529,54635
3700,3.6042,,0.000529,54496
3700,3.6157,3.6111,0.000529,
3720,3.6384,,0.000528,54441
3740,3.6513,,0.000527,54268
3760,3.6747,,0.000526,42791
3780,3.6468,,0.000525,54180
3800,3.5771,,0.000524,54360
3800,3.6069,3.5788,0.000524,
3820,3.6186,,0.000523,54474
3840,3.5761,,0.000522,54370
3860,3.5167,,0.000522,54519
